GAME_ID,POSSESSION_ID,TEAM_ID,START_X,START_Y,END_X,DISTANCE,DURATION,THIRD,DOMINANT_ZONE,ENTRY_ZONE,EXIT_ZONE,START_TIME,END_TIME,DEF_WIDTH,SHOT,XG,GOAL,TURNOVER,TEAM_0_SCORE,TEAM_1_SCORE,SCORE_STATE
8,12715,1,65.914246,10.795219,14.196453,51.717793,88,middle_third,wide,wide,wide,2289,2376,15.172,False,0.0,False,False,0.0,0.0,tied
8,12852,1,46.974873,61.64845,10.465794,36.50908,64,middle_third,wide,wide,wide,2588,2651,14.899,True,0.2550944831868243,True,False,0.0,0.0,tied
9,13016,0,62.669605,54.255238,75.95283,13.283222,32,middle_third,central,central,central,23,54,9.763,False,0.0,False,False,0.0,0.0,tied
9,13195,0,78.632744,35.441067,108.00482,29.372078,49,middle_third,central,central,wide,285,333,14.16,True,0.1581508951298278,True,False,0.0,0.0,tied
9,13220,1,57.591732,27.185345,44.07782,13.513912,30,middle_third,central,central,wide,371,400,9.826,False,0.0,False,True,1.0,0.0,losing
9,13419,0,61.69874,31.391333,72.18344,10.484703,24,middle_third,central,central,central,780,803,14.123,False,0.0,False,False,1.0,0.0,winning
9,13570,0,84.73863,42.208313,102.814995,18.076363,29,final_third,central,central,central,1032,1060,13.783,False,0.0,False,True,1.0,0.0,winning
9,13647,1,49.2417,15.805796,20.49728,28.74442,35,middle_third,wide,wide,wide,1141,1175,14.551,False,0.0,False,False,1.0,0.0,losing
9,13676,0,34.086693,27.599808,61.495815,27.409122,48,defensive_third,central,central,wide,1210,1257,14.555,False,0.0,False,False,1.0,0.0,winning
9,13689,0,70.915985,27.743681,99.65163,28.735641,106,middle_third,wide,central,wide,1270,1375,14.308,False,0.0,False,True,1.0,0.0,winning
9,13742,1,43.19456,39.039413,18.374634,24.819927,59,middle_third,central,central,central,1428,1486,13.514,False,0.0,False,True,1.0,0.0,losing
9,13767,0,41.49309,32.87908,61.5799,20.086807,33,middle_third,central,central,central,1516,1548,14.763,False,0.0,False,False,1.0,0.0,winning
9,13776,0,72.42446,30.811466,108.09867,35.67421,45,middle_third,central,central,central,1557,1601,13.682,True,0.4237163728466633,False,False,1.0,0.0,winning
9,13879,0,65.981064,49.194,105.99489,40.013824,83,middle_third,central,central,wide,1732,1814,14.149,False,0.0,False,False,1.0,0.0,winning
9,13989,0,86.40851,59.93153,107.97387,21.565361,35,final_third,central,wide,central,1953,1987,14.6,True,0.2946731662986647,False,False,1.0,0.0,winning
9,14084,1,84.426414,65.73632,66.70938,17.717033,31,defensive_third,wide,wide,wide,2123,2153,15.581,False,0.0,False,True,1.0,0.0,losing
9,14170,0,84.33204,42.574966,110.5279,26.195862,48,final_third,central,central,central,2375,2422,13.473,True,0.11850669377684264,True,False,1.0,0.0,winning
9,14179,1,60.03193,39.92332,48.878883,11.153046,25,middle_third,central,central,central,2431,2455,10.796,False,0.0,False,True,2.0,0.0,losing
9,14213,0,62.938435,20.164818,75.78515,12.846714,33,middle_third,wide,wide,wide,2510,2542,11.643,False,0.0,False,False,2.0,0.0,winning
9,14228,0,86.43475,23.63871,108.27397,21.839218,62,final_third,wide,wide,wide,2569,2630,11.963,True,0.16557851249591587,True,False,2.0,0.0,winning
9,14474,1,57.612278,51.099052,32.58567,25.026608,49,middle_third,central,central,central,2952,3000,13.852,False,0.0,False,False,3.0,0.0,losing
10,14568,1,36.11475,54.28404,16.355434,19.759315,59,final_third,central,central,central,195,253,13.9,False,0.0,False,True,0.0,0.0,tied
10,14610,0,64.82832,62.6845,101.146095,36.317772,62,middle_third,central,wide,central,316,377,13.704,False,0.0,False,False,0.0,0.0,tied
10,14633,0,98.67917,48.45461,109.0055,10.326332,37,final_third,central,central,wide,404,440,14.544,True,0.0019085733745514612,True,False,0.0,0.0,tied
10,14653,0,59.99712,37.497124,71.051994,11.054874,25,middle_third,central,central,central,488,512,10.07,False,0.0,False,False,1.0,0.0,winning
10,14673,0,77.18321,61.097183,93.64413,16.460915,33,middle_third,wide,wide,wide,537,569,11.863,False,0.0,False,False,1.0,0.0,winning
10,14693,0,93.239426,22.004429,107.04118,13.801758,31,final_third,wide,wide,wide,661,691,14.291,False,0.0,False,False,1.0,0.0,winning
10,14790,0,57.177635,29.576897,70.01104,12.833405,20,middle_third,central,central,central,836,855,14.188,False,0.0,False,False,1.0,0.0,winning
10,15091,0,59.93874,40.151,75.41366,15.474918,41,middle_third,central,central,central,1418,1458,10.348,False,0.0,False,False,1.0,1.0,tied
10,15175,1,27.145317,71.21407,1.2813234,25.863995,68,final_third,wide,wide,wide,1664,1731,14.885,False,0.0,False,True,1.0,1.0,tied
10,15210,0,60.825027,37.420734,106.52241,45.69738,60,middle_third,central,central,central,1790,1849,13.364,False,0.0,False,False,1.0,1.0,tied
10,15301,0,78.9109,63.6669,90.87783,11.966934,19,middle_third,wide,wide,wide,2058,2076,15.036,False,0.0,False,False,1.0,1.0,tied
10,15432,0,86.73926,35.814034,106.2121,19.47284,30,final_third,central,central,central,2380,2409,13.316,False,0.0,False,False,2.0,1.0,winning
11,15831,1,60.386173,34.24023,13.738929,46.647243,68,middle_third,central,central,central,96,163,10.646,False,0.0,False,False,0.0,0.0,tied
11,15937,0,37.618126,30.992252,60.821198,23.203072,38,defensive_third,central,central,wide,286,323,12.901,False,0.0,False,False,0.0,0.0,tied
11,15974,0,84.16467,63.88943,95.46627,11.301598,20,final_third,wide,wide,wide,389,408,13.563,False,0.0,False,True,0.0,0.0,tied
11,16282,0,69.58922,54.900097,82.2293,12.640083,26,middle_third,central,central,central,929,954,14.066,True,0.0932233224504053,True,False,0.0,0.0,tied
11,16289,0,88.05382,48.63258,102.942024,14.8882065,27,final_third,central,central,central,961,987,13.621,True,0.0932233224504053,True,False,0.0,0.0,tied
11,16299,1,60.072475,39.823612,44.05208,16.020397,30,middle_third,central,central,central,997,1026,10.616,False,0.0,False,True,1.0,0.0,losing
11,16438,1,33.466904,26.745579,15.943519,17.523384,50,final_third,central,central,wide,1348,1397,14.045,False,0.0,False,True,1.0,0.0,losing
11,16694,1,36.834225,62.60016,10.379616,26.454609,38,final_third,wide,wide,wide,1798,1835,14.622,False,0.0,False,False,2.0,0.0,losing
11,16755,0,54.52258,52.050434,93.40585,38.883274,127,middle_third,wide,central,central,1939,2065,13.221,False,0.0,False,True,2.0,0.0,winning
11,17162,1,54.416416,46.219543,10.450466,43.96595,86,middle_third,central,central,central,2902,2987,14.158,True,0.1975663592450443,True,False,2.0,0.0,losing
12,17247,0,38.946514,58.410973,61.26204,22.315525,34,defensive_third,wide,wide,wide,169,202,11.157,False,0.0,False,False,0.0,0.0,tied
12,17255,0,72.8522,52.33239,106.88425,34.032043,50,middle_third,wide,central,wide,210,259,12.793,False,0.0,False,False,0.0,0.0,tied
12,17369,1,48.8329,34.086,16.818598,32.014305,64,middle_third,central,central,central,462,525,13.352,True,0.1905638904848793,True,False,0.0,0.0,tied
12,17505,1,53.059357,59.80312,31.626352,21.433004,49,middle_third,wide,wide,wide,755,803,14.669,False,0.0,False,False,0.0,1.0,winning
12,17638,1,58.554623,29.0296,43.176533,15.37809,47,middle_third,wide,central,wide,1009,1055,13.593,False,0.0,False,False,0.0,1.0,winning
12,17772,0,27.93643,40.113655,60.81818,32.881752,47,defensive_third,central,central,central,1281,1327,14.639,False,0.0,False,True,0.0,1.0,losing
12,17801,1,62.842857,41.012268,41.61649,21.226368,39,middle_third,central,central,central,1361,1399,14.191,True,0.15753298804391053,True,False,0.0,1.0,winning
12,17813,1,33.483105,46.42332,18.464838,15.018267,20,final_third,central,central,central,1411,1430,13.555,True,0.15753298804391053,True,False,0.0,1.0,winning
12,17874,0,73.8523,66.2473,94.15464,20.302338,34,middle_third,wide,wide,wide,1585,1618,12.602,False,0.0,False,False,0.0,2.0,losing
12,17943,1,59.725494,40.6168,15.414924,44.31057,96,middle_third,central,central,wide,1766,1861,14.365,False,0.0,False,False,0.0,2.0,winning
12,18054,1,28.537878,46.377254,17.762125,10.775753,29,final_third,central,central,central,2083,2111,13.512,False,0.0,False,True,0.0,2.0,winning
12,18099,0,48.789482,58.98918,70.58053,21.791046,34,middle_third,central,wide,central,2262,2295,14.716,False,0.0,False,False,0.0,2.0,losing
